network,method,variant,model_file,original_variables,original_fixed_variables,original_free_variables,retained_variables,state_dimension,fixed_variables,free_variables,retained_fraction,eliminated_fraction,free_retained_fraction,free_eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_size,original_effective_state_space_size,effective_state_space_ratio,log2_effective_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,serialized_dimension,initial_states_analyzed,serialized_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
non_small_cell_lung_cancer,original,original,results/models/non_small_cell_lung_cancer/original.bnet,73,35,38,73,73,35,38,1.0,0.0,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,274877906944,274877906944,1.0,0,False,,,,1,0.011801877999459975,mpbn_exact,True,monte_carlo,False,73,10000,9444732965739290427392,3.637978807091713e-08,1,1,0,1,8.8008,9,0.2005244539996056,10000,13013847623370177443,
non_small_cell_lung_cancer,node_elimination,node_elimination,results/models/non_small_cell_lung_cancer/node_elimination.bnet,73,35,38,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,274877906944,3.637978807091713e-12,-38,True,,,,1,0.003179344999807654,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.443699966330314e-05,,,
non_small_cell_lung_cancer,two_step,two_step,results/models/non_small_cell_lung_cancer/two_step.bnet,73,35,38,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,274877906944,3.637978807091713e-12,-38,True,,,,1,0.0027166600002601626,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1201999768672977e-05,,,
non_small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/non_small_cell_lung_cancer/leaf_node_removal.bnet,73,35,38,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,274877906944,3.637978807091713e-12,-38,True,,,,1,0.002661523999449855,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.086899919755524e-05,,,
non_small_cell_lung_cancer,dominant_vertices,dv_01,results/models/non_small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,73,35,38,35,35,35,0,0.4794520547945205,0.5205479452054795,0.0,1.0,34359738368,9444732965739290427392,3.637978807091713e-12,-38,1,274877906944,3.637978807091713e-12,-38,True,1,9,hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2272;hsa_238;hsa_27436;hsa_3082;hsa_3798;hsa_3799;hsa_3800;hsa_4616;hsa_51426;hsa_5170;hsa_5578;hsa_5579;hsa_5582;hsa_578;hsa_581;hsa_5915;hsa_5979;hsa_6256;hsa_6257;hsa_6258;hsa_6789;hsa_7039;hsa_7157;hsa_83593,1,,theoretical_preservation,True,exact,True,35,1,34359738368,1.0,1,1,0,1,0.0,0,2.2175000594870653e-05,,,
pancreatic_cancer,original,original,results/models/pancreatic_cancer/original.bnet,77,30,47,77,77,30,47,1.0,0.0,1.0,0.0,151115727451828646838272,151115727451828646838272,1.0,0,140737488355328,140737488355328,1.0,0,False,,,,1,0.012736399000459642,mpbn_exact,True,monte_carlo,False,77,10000,151115727451828646838272,7.105427357601002e-11,1,1,0,1,3.7476,4,0.2106747269999687,10000,7969653708496683661,
pancreatic_cancer,node_elimination,node_elimination,results/models/pancreatic_cancer/node_elimination.bnet,77,30,47,0,0,0,0,0.0,1.0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,1,140737488355328,7.105427357601002e-15,-47,True,,,,1,0.0030502870004056604,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1918999916815665e-05,,,
pancreatic_cancer,two_step,two_step,results/models/pancreatic_cancer/two_step.bnet,77,30,47,0,0,0,0,0.0,1.0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,1,140737488355328,7.105427357601002e-15,-47,True,,,,1,0.002613594000649755,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1363999874447472e-05,,,
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,77,30,47,0,0,0,0,0.0,1.0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,1,140737488355328,7.105427357601002e-15,-47,True,,,,1,0.0025135040004897746,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1794000783993397e-05,,,
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,77,30,47,30,30,30,0,0.38961038961038963,0.6103896103896104,0.0,1.0,1073741824,151115727451828646838272,7.105427357601002e-15,-47,1,140737488355328,7.105427357601002e-15,-47,True,1,6,hsa_10000;hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2064;hsa_207;hsa_208;hsa_3845;hsa_4089;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_5888;hsa_595;hsa_675;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7157;hsa_9459,1,,theoretical_preservation,True,exact,True,30,1,1073741824,1.0,1,1,0,1,0.0,0,2.262799989694031e-05,,,
