network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,initial_states_analyzed,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
melanoma,original,original,results/models/melanoma/original.bnet,73,73,73,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,False,,,,1,0.017734007999933965,mpbn_exact,True,monte_carlo,False,10000,1.0587911840678754e-18,1,1,0,1,6.0,6,0.21025108699996053,10000,16178760310373070879,
melanoma,node_elimination,node_elimination,results/models/melanoma/node_elimination.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.003111215999979322,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.0123999800271122e-05,,,
melanoma,two_step,two_step,results/models/melanoma/two_step.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.003142144000321423,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.1169000117661199e-05,,,
melanoma,leaf_node_removal,leaf_node_removal,results/models/melanoma/leaf_node_removal.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.0026549919998615223,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.490000138612231e-06,,,
melanoma,dominant_vertices,dv_01,results/models/melanoma/dominant_vertices/dominant_vertices_01.bnet,73,40,40,0.547945205479452,0.452054794520548,1099511627776,9444732965739290427392,1.1641532182693481e-10,-33,True,1,7,hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2246;hsa_2247;hsa_2248;hsa_2249;hsa_2250;hsa_2251;hsa_2252;hsa_2253;hsa_2254;hsa_2255;hsa_26281;hsa_26291;hsa_27006;hsa_3082;hsa_3479;hsa_4193;hsa_4286;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_56034;hsa_5728;hsa_578;hsa_581;hsa_80310;hsa_8074;hsa_8817;hsa_8822;hsa_8823;hsa_9965;hsa_999,1,,theoretical_preservation,True,monte_carlo,False,10000,9.094947017729282e-09,1,1,0,1,1.0,1,0.10007064499995977,10000,2049920614529872485,
non_small_cell_lung_cancer,original,original,results/models/non_small_cell_lung_cancer/original.bnet,73,73,73,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,False,,,,1,0.01236165099999198,mpbn_exact,True,monte_carlo,False,10000,1.0587911840678754e-18,1,1,0,1,9.8538,10,0.2710350790002849,10000,13013847623370177443,
non_small_cell_lung_cancer,node_elimination,node_elimination,results/models/non_small_cell_lung_cancer/node_elimination.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.0030744390001018473,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.72499992712983e-06,,,
non_small_cell_lung_cancer,two_step,two_step,results/models/non_small_cell_lung_cancer/two_step.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.0027360409999346302,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.550999948260142e-06,,,
non_small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/non_small_cell_lung_cancer/leaf_node_removal.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,,1,0.0027450839997982257,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.367999609821709e-06,,,
non_small_cell_lung_cancer,dominant_vertices,dv_01,results/models/non_small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,73,35,35,0.4794520547945205,0.5205479452054795,34359738368,9444732965739290427392,3.637978807091713e-12,-38,True,1,9,hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2272;hsa_238;hsa_27436;hsa_3082;hsa_3798;hsa_3799;hsa_3800;hsa_4616;hsa_51426;hsa_5170;hsa_5578;hsa_5579;hsa_5582;hsa_578;hsa_581;hsa_5915;hsa_5979;hsa_6256;hsa_6257;hsa_6258;hsa_6789;hsa_7039;hsa_7157;hsa_83593,1,,theoretical_preservation,True,monte_carlo,False,10000,2.9103830456733704e-07,1,1,0,1,1.0,1,0.08494657599976563,10000,7820385076325023589,
pancreatic_cancer,original,original,results/models/pancreatic_cancer/original.bnet,77,77,77,1.0,0.0,151115727451828646838272,151115727451828646838272,1.0,0,False,,,,1,0.015934260999983962,mpbn_exact,True,monte_carlo,False,10000,6.617444900424221e-20,1,1,0,1,4.875,5,0.34294970299970373,10000,7969653708496683661,
pancreatic_cancer,node_elimination,node_elimination,results/models/pancreatic_cancer/node_elimination.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.0030076519997237483,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.1454999821580714e-05,,,
