network,method,variant,model_file,state_dimension,analysis_type,attractor_count_is_complete,serialized_dimension,fixed_variables,free_variables,initial_states_analyzed,state_space_size,serialized_state_space_size,effective_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
prostate_cancer,leaf_node_removal,leaf_node_removal,results/models/prostate_cancer/leaf_node_removal.bnet,33,monte_carlo,False,33,11,22,10000,4194304,8589934592,4194304,0.002384185791015625,1,1,0,1,6.9923,7,0.09646047800015367,10000,877878801057015525,
prostate_cancer,dominant_vertices,dv_01,results/models/prostate_cancer/dominant_vertices/dominant_vertices_01.bnet,42,exact,True,42,41,1,2,2,4398046511104,2,1.0,2,2,0,1;1,0.0,0,5.035499998484738e-05,,,
renal_cell_carcinoma,original,original,results/models/renal_cell_carcinoma/original.bnet,70,monte_carlo,False,70,26,44,10000,17592186044416,1180591620717411303424,17592186044416,5.684341886080801e-10,1,1,0,1,4.2426,5,0.1813045240005522,10000,14681461830633154229,
renal_cell_carcinoma,node_elimination,node_elimination,results/models/renal_cell_carcinoma/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.060799968399806e-05,,,
renal_cell_carcinoma,two_step,two_step,results/models/renal_cell_carcinoma/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.076099943020381e-05,,,
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/renal_cell_carcinoma/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.0495000424270984e-05,,,
renal_cell_carcinoma,dominant_vertices,dv_01,results/models/renal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,26,exact,True,26,26,0,1,1,67108864,1,1.0,1,1,0,1,0.0,0,2.079900059470674e-05,,,
small_cell_lung_cancer,original,original,results/models/small_cell_lung_cancer/original.bnet,93,monte_carlo,False,93,45,48,10000,281474976710656,9903520314283042199192993792,281474976710656,3.552713678800501e-11,1,1,0,1,5.9816,6,0.26402395100012654,10000,9436012162443848748,
small_cell_lung_cancer,node_elimination,node_elimination,results/models/small_cell_lung_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,2.185400080634281e-05,,,
small_cell_lung_cancer,two_step,two_step,results/models/small_cell_lung_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.2449999303498771e-05,,,
small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/small_cell_lung_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.147700004366925e-05,,,
small_cell_lung_cancer,dominant_vertices,dv_01,results/models/small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,45,exact,True,45,45,0,1,1,35184372088832,1,1.0,1,1,0,1,0.0,0,2.4295999537571333e-05,,,
thyroid_cancer,original,original,results/models/thyroid_cancer/original.bnet,37,exact,True,37,23,14,16384,16384,137438953472,16384,1.0,1,1,0,1,3.81146240234375,4,0.17958192500009318,,,True
thyroid_cancer,node_elimination,node_elimination,results/models/thyroid_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1120999261038378e-05,,,True
thyroid_cancer,two_step,two_step,results/models/thyroid_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1500000255182385e-05,,,True
thyroid_cancer,leaf_node_removal,leaf_node_removal,results/models/thyroid_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.0578999535937328e-05,,,True
thyroid_cancer,dominant_vertices,dv_01,results/models/thyroid_cancer/dominant_vertices/dominant_vertices_01.bnet,23,exact,True,23,23,0,1,1,8388608,1,1.0,1,1,0,1,0.0,0,2.2141999579616822e-05,,,True
